RUN_TIME,MKT_TYPE,TIME_INTERVAL,CONGEST_TYPE,RUN_TYPE,EQUIPMENT_NAME,STATION_NAME,VOLTAGE_LEVEL,BINDING_LIMIT,MW_FLOW,OVERLOAD_MW,PCT_MW,
7/2/2026,DAP,7/2/2026 10:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,592.5819,592.5819,0,100,
7/2/2026,DAP,7/2/2026 11:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR1,01EHVNAG,230,592.6604,592.6604,0,100,
7/2/2026 1:00:00 AM,DAP,7/2/2026 10:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,592.4006,592.4006,0,100,
7/2/2026 1:00:00 AM,DAP,7/2/2026 11:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,592.6292,592.6292,0,100,
7/2/2026 2:00:00 AM,DAP,7/2/2026 10:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,592.3315,592.3315,0,100,
7/2/2026 2:00:00 AM,DAP,7/2/2026 11:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,592.5142,592.5142,0,100,
7/2/2026 3:00:00 AM,DAP,7/2/2026 10:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,592.3234,592.3234,0,100,
7/2/2026 3:00:00 AM,DAP,7/2/2026 11:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,592.5150,592.5150,0,100,
7/2/2026 4:00:00 AM,DAP,7/2/2026 11:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,592.5793,592.5793,0,100,
7/2/2026 5:00:00 AM,DAP,7/2/2026 11:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR1,01EHVNAG,230,592.5948,592.5948,0,100,
7/2/2026 6:00:00 AM,DAP,7/2/2026 1:00:00 PM,BASE CASE,SCHED_RUN,5DAAN_4TAB2,05DAANBN,230,226.3085,227.5668,1.2583,100.56,
7/2/2026 6:00:00 AM,DAP,7/2/2026 2:00:00 PM,BASE CASE,SCHED_RUN,5DAAN_4TAB2,05DAANBN,230,226.2142,226.2142,0,100,
7/2/2026 6:00:00 AM,DAP,7/2/2026 11:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,592.5833,592.5833,0,100,
7/2/2026 7:00:00 AM,DAP,7/2/2026 2:00:00 PM,BASE CASE,SCHED_RUN,5DAAN_4TAB2,05DAANBN,230,226.3893,226.3893,0,100,
7/2/2026 8:00:00 AM,DAP,7/2/2026 2:00:00 PM,BASE CASE,SCHED_RUN,5DAAN_4TAB2,05DAANBN,230,226.3007,228.3593,2.0586,100.91,
7/2/2026 8:00:00 AM,DAP,7/2/2026 10:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,592.7894,592.7894,0,100,
7/2/2026 8:00:00 AM,DAP,7/2/2026 11:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,592.7115,592.7115,0,100,
7/2/2026 9:00:00 AM,DAP,7/2/2026 2:00:00 PM,BASE CASE,SCHED_RUN,5DAAN_4TAB2,05DAANBN,230,226.3384,226.3384,0,100,
7/2/2026 9:00:00 AM,DAP,7/2/2026 10:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,592.7352,592.7352,0,100,
7/2/2026 9:00:00 AM,DAP,7/2/2026 11:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,592.5899,592.5899,0,100,
7/2/2026 10:00:00 AM,DAP,7/2/2026 2:00:00 PM,BASE CASE,SCHED_RUN,5DAAN_4TAB2,05DAANBN,230,226.3478,226.3478,0,100,
7/2/2026 10:00:00 AM,DAP,7/2/2026 10:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,592.3460,592.3460,0,100,
7/2/2026 10:00:00 AM,DAP,7/2/2026 11:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,592.1403,592.1403,0,100,
7/2/2026 10:00:00 AM,DAP,7/3/2026,CONTINGENCY,SCHED_RUN,1EHVNGS_TR1,01EHVNAG,230,592.8037,592.8037,0,100,
7/2/2026 11:00:00 AM,DAP,7/2/2026 10:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,589.9096,589.9096,0,100,
7/2/2026 11:00:00 AM,DAP,7/2/2026 11:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR1,01EHVNAG,230,589.7042,589.7042,0,100,
