RUN_TIME,MKT_TYPE,TIME_INTERVAL,CONGEST_TYPE,RUN_TYPE,EQUIPMENT_NAME,STATION_NAME,VOLTAGE_LEVEL,BINDING_LIMIT,MW_FLOW,OVERLOAD_MW,PCT_MW,
2026-04-24 00:00:00,RTD,2026-04-24 00:05:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01HERMOS,230,539.52,539.52,0,100,
2026-04-24 00:05:00,RTD,2026-04-24 00:10:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01HERMOS,230,539.47,539.47,0,100,
2026-04-24 00:10:00,RTD,2026-04-24 00:15:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01HERMOS,230,539.46,539.46,0,100,
2026-04-24 00:40:00,RTD,2026-04-24 00:45:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01MEXICO,230,520.82,520.82,0,100,
2026-04-24 01:15:00,RTD,2026-04-24 01:20:00,BASE CASE,SCHED_RUN,2TAYTAY_TR2,02DOLORE,230,294.09,294.09,0,100,
2026-04-24 00:15:00,RTD,2026-04-24 00:20:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01HERMOS,230,539.23,539.23,0,100,
2026-04-24 00:20:00,RTD,2026-04-24 00:25:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01HERMOS,230,539.11,539.11,0,100,
2026-04-24 00:45:00,RTD,2026-04-24 00:50:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01HERMOS,230,538.99,538.99,0,100,
2026-04-24 00:45:00,RTD,2026-04-24 00:50:00,BASE CASE,SCHED_RUN,2TAYTAY_TR2,02DOLORE,230,294.01,294.01,0,100,
2026-04-24 00:25:00,RTD,2026-04-24 00:30:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01HERMOS,230,539.12,539.12,0,100,
2026-04-24 00:30:00,RTD,2026-04-24 00:35:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01HERMOS,230,539.01,539.01,0,100,
2026-04-24 00:35:00,RTD,2026-04-24 00:40:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01HERMOS,230,539.01,539.01,0,100,
2026-04-24 01:15:00,RTD,2026-04-24 01:20:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01MEXICO,230,522.41,522.41,0,100,
2026-04-24 00:50:00,RTD,2026-04-24 00:55:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01HERMOS,230,539.17,539.17,0,100,
2026-04-24 00:50:00,RTD,2026-04-24 00:55:00,BASE CASE,SCHED_RUN,2TAYTAY_TR2,02DOLORE,230,293.99,293.99,0,100,
2026-04-24 00:55:00,RTD,2026-04-24 01:00:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01HERMOS,230,539.3,539.3,0,100,
2026-04-24 00:55:00,RTD,2026-04-24 01:00:00,BASE CASE,SCHED_RUN,2TAYTAY_TR2,02DOLORE,230,294.02,294.02,0,100,
2026-04-24 01:00:00,RTD,2026-04-24 01:05:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01HERMOS,230,539.32,539.32,0,100,
2026-04-24 01:00:00,RTD,2026-04-24 01:05:00,BASE CASE,SCHED_RUN,2TAYTAY_TR2,02DOLORE,230,294.04,294.04,0,100,
2026-04-24 01:05:00,RTD,2026-04-24 01:10:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01MEXICO,230,522.32,522.32,0,100,
2026-04-24 01:05:00,RTD,2026-04-24 01:10:00,BASE CASE,SCHED_RUN,2TAYTAY_TR2,02DOLORE,230,294.11,294.11,0,100,
2026-04-24 01:10:00,RTD,2026-04-24 01:15:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01HERMOS,230,539.16,539.16,0,100,
2026-04-24 01:10:00,RTD,2026-04-24 01:15:00,BASE CASE,SCHED_RUN,2TAYTAY_TR2,02DOLORE,230,294.1,294.1,0,100,
2026-04-24 01:25:00,RTD,2026-04-24 01:30:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01HERMOS,230,539.38,539.38,0,100,
2026-04-24 01:30:00,RTD,2026-04-24 01:35:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01MEXICO,230,522.7,522.7,0,100,
2026-04-24 04:50:00,RTD,2026-04-24 04:55:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01MEXICO,230,517.02,517.02,0,100,
2026-04-24 04:55:00,RTD,2026-04-24 05:00:00,CONTINGENCY,SCHED_RUN,1MEXI_1HER2,01MEXICO,230,514.7,514.7,0,100,
2026-04-24 13:45:00,RTD,2026-04-24 13:50:00,BASE CASE,SCHED_RUN,1SJO115_TR1,01EHVSJO,115,80.06,80.06,0,100,
2026-04-24 14:00:00,RTD,2026-04-24 14:05:00,BASE CASE,SCHED_RUN,1SJO115_TR1,01EHVSJO,115,80.07,80.07,0,100,
2026-04-24 14:20:00,RTD,2026-04-24 14:25:00,BASE CASE,SCHED_RUN,1SJO115_TR1,01EHVSJO,115,80.05,80.05,0,100,
2026-04-24 14:45:00,RTD,2026-04-24 14:50:00,BASE CASE,SCHED_RUN,1SJO115_TR1,01EHVSJO,115,80.06,80.06,0,100,
2026-04-24 14:50:00,RTD,2026-04-24 14:55:00,BASE CASE,SCHED_RUN,1SJO115_TR1,01EHVSJO,115,80.05,80.05,0,100,
2026-04-24 14:55:00,RTD,2026-04-24 15:00:00,BASE CASE,SCHED_RUN,1SJO115_TR1,01EHVSJO,115,80.05,80.05,0,100,
2026-04-24 20:00:00,RTD,2026-04-24 20:05:00,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,592.31,592.31,0,100,
